DESTINATION ADDRESS,DESTINATION SSID,SOURCE ADDRESS,SOURCE SSID,INFORMATION FIELD (HEX),RECIEVED CRC-16,CALCULATED CRC-16
GROUND,14,DOCKER,11,ea07060907263b380800000000bb0b01000100840c02002707240002000300000003000000e93da8ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10d1,10d1
GROUND,14,DOCKER,11,ea070609072700470801000100b50b02000100900c01002807250001000300000003000000e43daeff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,d0ac,d0ac
GROUND,14,DOCKER,11,ea0706090727013f0801000100b30b02000100820c01002207330002000300000003000000e43daeff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,a87b,a87b
GROUND,14,DOCKER,11,ea0706090727023f0801000100c00b010001008c0c02002807320002000300000003000000e43daeff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,85d9,85d9
GROUND,14,DOCKER,11,ea0706090727033f0801000100bf0b020001007c0c01002907320002000300000003000000c23d86ff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,db84,db84
GROUND,14,DOCKER,11,ea070609072704400801000100c00b030001007c0c010027072c0001000300000003000000c23d86ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3361,3361
GROUND,14,DOCKER,11,ea070609072705400801000100c30b02000100800c010027073600010003000000030000009c3d56ff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,f5a5,f5a5
GROUND,14,DOCKER,11,ea070609072706400801000100bd0b01000100800c010026073500030003000000030000009c3d56ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,d34a,d34a
GROUND,14,DOCKER,11,ea070609072707400801000100c00b000001008b0c01002a074800040003000000030000009c3d56ff180016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2381,2381
GROUND,14,DOCKER,11,ea070609072708400801000100bf0b010001008b0c010030071e00010003000000030000009c3d56ff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,a4de,a4de
GROUND,14,DOCKER,11,ea0706090727093b0800000000bf0b01000200800c020025072300010003000000030000009b3d84ff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,f86d,f86d
GROUND,14,DOCKER,11,ea07060907270a3b0800000000b50b010001008e0c010024071300030003000000030000009b3d84ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3029,3029
GROUND,14,DOCKER,11,ea07060907270b3b0800000000c40b040001007f0c01002c07380001000300000003000000e03d20ff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,fce8,fce8
GROUND,14,DOCKER,11,ea07060907270c4a0800000100c40b01000100880c01002007400001000300000003000000d33d97ff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23a6,23a6
GROUND,14,DOCKER,11,ea07060907270d4b0802000100bb0b01000200800c010021073600020003000000030000009c3de3fe180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4ec5,4ec5
GROUND,14,DOCKER,11,ea07060907270e460801000100b60b00000200880c01002607110002000300000000000000163e5fff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0e19,0e19
GROUND,14,DOCKER,11,ea07060907270f460801000100c00b040001008e0c010028073a0001000300000003000000163e5fff180016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,804b,804b
GROUND,14,DOCKER,11,ea070609072710460801000100b50b01000100880c01002407220001000300000003000000163e5fff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7546,7546
GROUND,14,DOCKER,11,ea0706090727113d0800000200c40b01000200830c01002d07360002000300000003000000bc3d80ff170016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,eb2c,eb2c
GROUND,14,DOCKER,11,ea0706090727123d0800000200b60b000002008c0c01002207120001000300000003000000bc3d80ff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8d54,8d54
GROUND,14,DOCKER,11,ea0706090727133f0800000100bf0b010002008b0c010028070d0001000300000003000000ee3d88ff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,bccd,bccd
GROUND,14,DOCKER,11,ea0706090727143f0800000100b60b01000100930c010024070d0002000300000003000000d53d8eff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1076,1076
GROUND,14,DOCKER,11,ea0706090727153f0800000100c60b020001007f0c01002c072d0002000300000003000000d53d8eff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2612,2612
GROUND,14,DOCKER,11,ea0706090727163f0800000100b60b01000100900c010024072200020003000000030000007e3db4ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9c40,9c40
GROUND,14,DOCKER,11,ea070609072717400800000100b40b01000200880c010022070a00010003000000030000005e3e92ff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,b450,b450
